@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {0,1}
@data
13.6105,12.0,1.0,870.0,11.5159,3.0,4.0,4.0,4.0,6.0,7.0,11.0,18.0,21.0,25.0,0
23.8371,12.0,1.0,2.0,10.0032,2.0,2.0,3.0,3.0,3.0,3.0,11.0,15.0,21.0,27.0,0
3.83918,11.0,1.0,130.0,10.7139,1.0,2.0,2.0,2.0,2.0,2.0,7.0,11.0,17.0,31.0,0
404.835,12.0,1.0,832.0,10.7051,1.0,2.0,2.0,2.0,2.0,2.0,7.0,11.0,16.0,31.0,0
3.46586,12.0,1.0,4486.0,11.2936,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,15.0,32.0,0
168.141,12.0,1.0,44.0,10.2653,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,15.0,32.0,0
4.74734,12.0,1.0,2552.0,10.7615,1.0,1.0,1.0,1.0,2.0,3.0,8.0,11.0,12.0,23.0,0
4.51263,12.0,1.0,1432.0,13.8017,2.0,2.0,2.0,5.0,5.0,7.0,9.0,12.0,13.0,24.0,0
9.73273,11.0,1.0,584.0,10.7666,3.0,3.0,3.0,5.0,5.0,7.0,9.0,12.0,13.0,24.0,0
22.2063,12.0,1.0,908.0,11.2384,2.0,2.0,2.0,5.0,5.0,7.0,9.0,12.0,13.0,24.0,0
194.857,12.0,3.0,2994.0,11.1215,3.0,3.0,3.0,5.0,5.0,7.0,9.0,11.0,13.0,23.0,0
17.3529,12.0,1.0,1334.0,10.6324,2.0,2.0,2.0,2.0,3.0,8.0,8.0,11.0,15.0,22.0,0
22.1184,12.0,1.0,346.0,10.5103,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,18.0,21.0,0
14.99,12.0,1.0,5430.0,11.077,2.0,2.0,2.0,2.0,2.0,3.0,7.0,9.0,12.0,30.0,0
154.116,12.0,1.0,878.0,10.1927,1.0,1.0,1.0,2.0,4.0,6.0,7.0,8.0,10.0,30.0,0
8.38662,12.0,1.0,11238.0,13.2933,2.0,2.0,3.0,3.0,4.0,4.0,7.0,8.0,10.0,29.0,0
8.38662,12.0,1.0,2420.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,7.0,8.0,10.0,29.0,0
2.40557,12.0,2.0,10632.0,14.4341,1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,17.0,23.0,0
11.3328,12.0,1.0,11654.0,14.0978,3.0,3.0,3.0,3.0,3.0,4.0,10.0,12.0,13.0,23.0,0
167.545,12.0,6.0,746.0,12.0986,3.0,3.0,3.0,3.0,3.0,4.0,10.0,12.0,13.0,23.0,0
9.31787,12.0,2.0,72.0,10.1217,1.0,3.0,4.0,6.0,6.0,6.0,11.0,12.0,13.0,26.0,0
16.6688,12.0,1.0,1414.0,13.9207,3.0,4.0,5.0,5.0,6.0,6.0,11.0,12.0,13.0,26.0,0
198.348,12.0,6.0,4150.0,12.9946,1.0,1.0,1.0,2.0,5.0,9.0,9.0,12.0,14.0,24.0,0
5.61661,12.0,1.0,1636.0,10.9499,2.0,2.0,2.0,2.0,2.0,2.0,7.0,12.0,14.0,28.0,0
8.36197,12.0,2.0,4326.0,11.4327,3.0,3.0,5.0,5.0,6.0,6.0,11.0,12.0,13.0,26.0,0
16.3164,12.0,1.0,312.0,10.9675,2.0,2.0,2.0,2.0,2.0,2.0,7.0,12.0,14.0,28.0,0
30.1858,12.0,1.0,120.0,10.3761,1.0,1.0,4.0,5.0,5.0,6.0,11.0,12.0,13.0,26.0,0
413.545,12.0,1.0,1084.0,10.5648,3.0,4.0,5.0,5.0,6.0,6.0,11.0,12.0,13.0,26.0,0
21.8564,12.0,1.0,2414.0,10.7888,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,13.0,30.0,0
16.3164,12.0,1.0,2706.0,11.1651,2.0,2.0,2.0,4.0,4.0,4.0,9.0,11.0,15.0,27.0,0
941.728,12.0,1.0,430.0,10.5378,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,13.0,30.0,0
9.57626,12.0,1.0,224.0,10.4982,2.0,2.0,2.0,4.0,4.0,4.0,9.0,12.0,17.0,24.0,0
12.4574,12.0,1.0,442.0,10.3843,2.0,2.0,2.0,4.0,4.0,6.0,9.0,11.0,15.0,27.0,0
16.0036,12.0,1.0,68.0,10.0552,1.0,1.0,1.0,1.0,1.0,2.0,7.0,15.0,17.0,23.0,0
5.97193,12.0,1.0,7896.0,12.1381,1.0,1.0,1.0,1.0,2.0,3.0,6.0,11.0,18.0,27.0,0
3.5485,12.0,1.0,5598.0,12.1879,1.0,1.0,1.0,1.0,3.0,5.0,7.0,12.0,19.0,27.0,0
14.8253,12.0,1.0,1022.0,10.0659,2.0,2.0,2.0,3.0,4.0,5.0,7.0,8.0,15.0,27.0,0
23.6512,12.0,1.0,798.0,11.0012,1.0,1.0,1.0,1.0,4.0,5.0,6.0,8.0,19.0,27.0,0
24.4019,11.0,1.0,291.0,10.5379,3.0,3.0,4.0,4.0,4.0,5.0,6.0,11.0,20.0,31.0,0
6.44559,12.0,1.0,1990.0,11.4749,3.0,3.0,3.0,3.0,4.0,4.0,5.0,14.0,21.0,49.0,0
220.649,12.0,3.0,566.0,11.9738,3.0,3.0,3.0,3.0,4.0,4.0,5.0,14.0,21.0,49.0,0
62.8736,12.0,2675.0,5292.0,24.1918,3.0,3.0,3.0,3.0,4.0,4.0,8.0,15.0,21.0,49.0,0
14.5317,12.0,1.0,466.0,10.5501,1.0,1.0,1.0,1.0,4.0,4.0,10.0,14.0,20.0,51.0,0
15.2226,12.0,1.0,5674.0,11.3959,3.0,3.0,3.0,3.0,4.0,5.0,8.0,14.0,31.0,69.0,0
23.1461,12.0,3.0,2720.0,11.3294,3.0,3.0,3.0,3.0,4.0,5.0,8.0,14.0,31.0,69.0,0
54.0274,12.0,1.0,1538.0,11.5655,3.0,3.0,3.0,3.0,4.0,5.0,8.0,14.0,31.0,69.0,0
20.0494,12.0,1.0,2.0,10.066,2.0,2.0,2.0,3.0,3.0,6.0,9.0,11.0,40.0,76.0,0
215.997,12.0,1.0,236.0,10.2811,2.0,2.0,2.0,3.0,3.0,5.0,10.0,12.0,41.0,76.0,0
6.90496,11.0,1.0,28.0,10.195,1.0,1.0,1.0,1.0,1.0,1.0,15.0,31.0,58.0,73.0,0
7.06775,12.0,1.0,5994.0,11.4401,1.0,2.0,3.0,3.0,3.0,4.0,7.0,22.0,40.0,73.0,0
7.06775,12.0,1.0,88.0,0.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,22.0,40.0,73.0,0
9.29219,7.0,10.0,20.0,10.4409,9.0,10.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
465.734,12.0,17.0,4414.0,12.4412,2.0,8.0,11.0,11.0,11.0,16.0,25.0,32.0,63.0,68.0,0
6.15136,12.0,18.0,1362.0,15.3577,5.0,8.0,8.0,11.0,13.0,24.0,27.0,51.0,60.0,68.0,0
3.01426,6.0,52.0,33.0,12.6519,1.0,5.0,9.0,13.0,13.0,14.0,29.0,54.0,59.0,67.0,0
12.5761,12.0,1.0,754.0,11.1502,3.0,6.0,11.0,13.0,13.0,23.0,27.0,54.0,59.0,68.0,0
84.6832,12.0,3.0,18.0,0.0,9.0,10.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
347.55,12.0,3.0,2058.0,10.827,9.0,10.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
467.389,12.0,3.0,3242.0,12.4599,5.0,5.0,8.0,10.0,13.0,24.0,26.0,51.0,60.0,68.0,0
2.34509,12.0,1.0,2310.0,10.995,1.0,1.0,3.0,5.0,18.0,23.0,40.0,53.0,54.0,64.0,0
821.525,12.0,1.0,2782.0,12.1181,1.0,1.0,2.0,3.0,14.0,23.0,42.0,53.0,54.0,64.0,0
821.525,12.0,1.0,446.0,0.0,2.0,4.0,5.0,8.0,14.0,14.0,37.0,54.0,57.0,67.0,0
9.36931,11.0,245.0,16091.0,19.5789,12.0,13.0,18.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
2.12388,12.0,2.0,3302.0,12.5818,3.0,4.0,6.0,7.0,15.0,26.0,28.0,42.0,53.0,60.0,0
2.26455,6.0,2.0,1.0,10.1298,13.0,13.0,18.0,20.0,22.0,28.0,29.0,42.0,54.0,63.0,0
2.32495,7.0,1.0,1340.0,11.5753,3.0,3.0,6.0,7.0,15.0,26.0,28.0,42.0,53.0,60.0,0
7.75402,6.0,2.0,11.0,10.2691,13.0,13.0,18.0,20.0,24.0,28.0,29.0,42.0,54.0,63.0,0
14.7597,10.0,35.0,646.0,12.151,1.0,4.0,4.0,20.0,26.0,28.0,29.0,42.0,54.0,60.0,0
17.4994,9.0,1.0,30.0,10.2102,3.0,3.0,6.0,6.0,10.0,25.0,28.0,37.0,53.0,60.0,0
277.919,12.0,9.0,2888.0,12.1218,9.0,15.0,16.0,20.0,22.0,28.0,31.0,42.0,54.0,63.0,0
834.743,10.0,1737.0,1896.0,160.104,2.0,3.0,3.0,3.0,4.0,4.0,7.0,8.0,10.0,29.0,1
11.9024,12.0,1.0,4702.0,12.4444,1.0,1.0,1.0,1.0,3.0,4.0,6.0,8.0,9.0,12.0,0
2.48631,12.0,2.0,1152.0,10.6981,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,11.0,15.0,0
4.79021,12.0,1.0,132.0,10.5618,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,10.0,16.0,0
6.4001,12.0,1.0,5594.0,12.1149,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,9.0,18.0,0
2.72927,12.0,1.0,112.0,10.0729,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,8.0,19.0,0
3.96445,12.0,1.0,588.0,11.0307,2.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,11.0,17.0,0
4.74734,12.0,1.0,888.0,11.0148,2.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,11.0,17.0,0
4.91916,12.0,1.0,1004.0,10.7589,2.0,2.0,2.0,2.0,2.0,2.0,6.0,9.0,11.0,23.0,0
874.133,12.0,1.0,372.0,10.4214,2.0,2.0,2.0,2.0,2.0,2.0,6.0,9.0,11.0,23.0,0
5.13532,12.0,1.0,18.0,10.0584,2.0,2.0,3.0,3.0,3.0,3.0,6.0,8.0,12.0,22.0,0
7.82614,12.0,1.0,934.0,10.353,1.0,1.0,3.0,3.0,3.0,3.0,6.0,8.0,12.0,22.0,0
28.4628,12.0,1.0,96.0,10.0756,2.0,2.0,3.0,3.0,3.0,3.0,6.0,8.0,12.0,22.0,0
653.526,11.0,1.0,1919.0,11.5628,1.0,6.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,17.0,0
763.911,9.0,687.0,1287.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,11.0,14.0,19.0,0
815.718,6.0,1.0,2.0,10.57,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,17.0,0
822.984,5.0,1.0,1.0,10.0799,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,17.0,0
854.211,2.0,1.0,1.0,10.1266,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,17.0,0
858.768,2.0,1.0,56.0,11.9606,7.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,17.0,0
886.624,3.0,1.0,1.0,10.0503,7.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,17.0,0
894.52,4.0,2.0,53.0,11.3115,7.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,17.0,0
16.847,12.0,1.0,2408.0,10.8973,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,12.0,0
9.31787,12.0,1.0,340.0,10.5369,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,12.0,0
1997.43,12.0,1.0,2460.0,14.3348,2.0,2.0,2.0,2.0,4.0,5.0,7.0,8.0,12.0,16.0,0
5.20048,12.0,1.0,5942.0,11.9269,3.0,3.0,3.0,3.0,5.0,7.0,7.0,8.0,12.0,21.0,0
5.20048,12.0,1.0,26.0,0.0,2.0,2.0,2.0,2.0,4.0,5.0,7.0,8.0,12.0,16.0,0
80.8342,12.0,33.0,3878.0,13.6525,3.0,3.0,3.0,3.0,3.0,7.0,7.0,8.0,12.0,22.0,0
158.563,12.0,1.0,2994.0,11.3588,3.0,3.0,3.0,3.0,5.0,7.0,7.0,8.0,12.0,22.0,0
11.4173,12.0,1.0,2344.0,10.6678,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,11.0,24.0,0
123.167,12.0,1.0,946.0,10.3031,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,19.0,33.0,0
720.486,12.0,1.0,408.0,10.5357,1.0,1.0,1.0,1.0,1.0,2.0,7.0,13.0,14.0,33.0,0
2.56717,12.0,60.0,3438.0,16.5309,2.0,2.0,3.0,3.0,4.0,8.0,12.0,12.0,22.0,37.0,0
358.192,12.0,3.0,974.0,10.679,1.0,1.0,3.0,3.0,3.0,8.0,12.0,12.0,23.0,34.0,0
4.21635,12.0,4.0,3066.0,14.3406,1.0,2.0,2.0,2.0,8.0,8.0,11.0,12.0,23.0,34.0,0
9.78513,12.0,1.0,612.0,10.7112,2.0,2.0,2.0,2.0,4.0,8.0,11.0,19.0,22.0,37.0,0
50.7984,12.0,1.0,2006.0,11.5943,3.0,4.0,4.0,5.0,6.0,11.0,12.0,12.0,23.0,35.0,0
56.9364,12.0,1.0,284.0,10.1419,2.0,2.0,2.0,2.0,4.0,8.0,11.0,19.0,22.0,37.0,0
213.708,12.0,4.0,1198.0,10.7582,1.0,2.0,2.0,5.0,8.0,10.0,11.0,12.0,23.0,35.0,0
812.83,12.0,2.0,1068.0,10.6176,1.0,4.0,4.0,4.0,8.0,11.0,12.0,12.0,22.0,35.0,0
17.795,12.0,1.0,300.0,10.7539,2.0,4.0,5.0,7.0,9.0,9.0,10.0,14.0,27.0,36.0,0
1443.89,12.0,1.0,108.0,10.4742,2.0,5.0,6.0,9.0,9.0,9.0,10.0,14.0,27.0,36.0,0
4.19529,11.0,3.0,2363.0,11.777,2.0,3.0,4.0,7.0,9.0,10.0,10.0,13.0,30.0,36.0,0
199.054,11.0,1.0,2.0,10.0223,2.0,3.0,7.0,9.0,9.0,9.0,10.0,15.0,27.0,36.0,0
684.367,12.0,1.0,388.0,10.1056,1.0,4.0,5.0,9.0,9.0,9.0,10.0,15.0,28.0,36.0,0
774.826,12.0,7.0,1982.0,13.7201,2.0,5.0,6.0,9.0,9.0,9.0,10.0,14.0,27.0,36.0,0
1696.75,12.0,1.0,1992.0,10.8418,2.0,4.0,7.0,9.0,9.0,9.0,10.0,14.0,27.0,36.0,0
2.16404,12.0,1.0,1862.0,11.1271,2.0,2.0,2.0,2.0,3.0,3.0,7.0,21.0,23.0,38.0,0
11.5873,12.0,2.0,2582.0,10.8055,1.0,1.0,1.0,1.0,1.0,3.0,13.0,16.0,30.0,37.0,0
4.36416,12.0,1.0,3624.0,10.4821,1.0,3.0,3.0,5.0,5.0,7.0,10.0,13.0,19.0,32.0,0
46.3822,12.0,1.0,3734.0,11.2402,3.0,3.0,3.0,3.0,3.0,4.0,11.0,14.0,24.0,39.0,0
2.26455,7.0,4839.0,124.0,20.3528,2.0,2.0,2.0,2.0,6.0,7.0,7.0,12.0,17.0,30.0,0
28.4628,9.0,1.0,693.0,0.0,2.0,3.0,5.0,5.0,7.0,7.0,10.0,13.0,18.0,32.0,0
149.794,9.0,1.0,22.0,10.2794,2.0,2.0,4.0,5.0,7.0,7.0,10.0,13.0,16.0,32.0,0
150.863,12.0,2.0,1388.0,0.0,2.0,3.0,5.0,5.0,7.0,7.0,10.0,13.0,18.0,32.0,0
243.28,12.0,1.0,1390.0,10.5476,2.0,2.0,2.0,2.0,6.0,7.0,7.0,11.0,17.0,30.0,0
4.30073,12.0,1.0,1418.0,10.5653,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,17.0,22.0,0
282.896,12.0,19.0,1446.0,13.5503,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,8.0,21.0,0
961.984,12.0,1.0,480.0,10.4586,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,9.0,24.0,0
98.9214,11.0,7.0,682.0,11.072,1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,10.0,18.0,0
98.9214,11.0,9.0,3297.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,8.0,21.0,0
121.642,11.0,107.0,3198.0,13.2361,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,8.0,21.0,0
181.491,12.0,1.0,6.0,10.0324,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,10.0,26.0,0
5.90495,12.0,1.0,1670.0,11.0516,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,13.0,25.0,0
7.73002,12.0,1.0,140.0,10.1917,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,11.0,25.0,0
22.5606,12.0,1.0,1696.0,10.8099,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,11.0,25.0,0
5.48454,12.0,1.0,6162.0,12.8105,2.0,2.0,2.0,2.0,4.0,9.0,11.0,15.0,19.0,20.0,0
32.3015,12.0,1.0,650.0,10.875,2.0,2.0,2.0,3.0,6.0,6.0,9.0,14.0,19.0,20.0,0
131.085,12.0,12.0,4296.0,15.7417,2.0,2.0,2.0,2.0,6.0,6.0,9.0,14.0,19.0,20.0,0
115.313,12.0,2.0,688.0,0.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,12.0,20.0,20.0,0
206.251,12.0,14.0,1994.0,14.2069,2.0,2.0,2.0,3.0,4.0,8.0,9.0,15.0,19.0,20.0,0
206.251,12.0,2.0,5804.0,0.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,12.0,20.0,20.0,0
6.55965,12.0,4.0,2968.0,11.4999,3.0,3.0,3.0,3.0,3.0,7.0,13.0,16.0,17.0,20.0,0
5.70501,12.0,1.0,460.0,11.0761,2.0,2.0,2.0,2.0,5.0,9.0,11.0,16.0,16.0,20.0,0
58.1837,12.0,83.0,4178.0,15.6562,3.0,3.0,3.0,3.0,3.0,6.0,13.0,16.0,17.0,20.0,0
252.52,12.0,1.0,5794.0,13.1983,3.0,3.0,3.0,3.0,3.0,7.0,13.0,16.0,17.0,20.0,0
2.99385,12.0,1.0,24.0,10.0535,1.0,3.0,3.0,4.0,6.0,7.0,10.0,14.0,16.0,20.0,0
3.94354,12.0,1.0,2614.0,11.1379,1.0,1.0,1.0,1.0,2.0,5.0,7.0,10.0,16.0,19.0,0
11.4739,12.0,1.0,1138.0,10.3923,1.0,1.0,1.0,4.0,5.0,7.0,10.0,12.0,16.0,20.0,0
77.157,12.0,11.0,3202.0,15.3458,2.0,3.0,3.0,4.0,6.0,7.0,10.0,14.0,16.0,20.0,0
70.2873,12.0,2.0,2322.0,0.0,2.0,2.0,2.0,2.0,5.0,9.0,11.0,16.0,16.0,20.0,0
212.573,11.0,4.0,2369.0,11.166,2.0,3.0,3.0,4.0,6.0,7.0,10.0,14.0,16.0,20.0,0
877.239,10.0,1018.0,1973.0,172.064,7.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,17.0,1
363.312,12.0,1.0,1034.0,10.4737,1.0,1.0,3.0,6.0,9.0,17.0,30.0,44.0,71.0,97.0,0
2.7902,10.0,37.0,237.0,13.49,3.0,4.0,5.0,10.0,18.0,27.0,41.0,63.0,90.0,122.0,0
4.38533,11.0,2.0,766.0,13.4641,5.0,8.0,8.0,10.0,22.0,30.0,37.0,63.0,93.0,125.0,0
5.81591,5.0,1.0,4.0,10.2954,3.0,6.0,8.0,11.0,19.0,30.0,36.0,63.0,92.0,124.0,0
16.3865,7.0,1.0,12.0,10.1548,3.0,6.0,8.0,11.0,19.0,30.0,36.0,63.0,92.0,124.0,0
21.7263,8.0,28.0,113.0,11.2834,5.0,8.0,8.0,10.0,23.0,30.0,37.0,63.0,93.0,125.0,0
47.6672,9.0,1.0,213.0,10.6896,3.0,4.0,8.0,16.0,20.0,27.0,38.0,62.0,91.0,134.0,0
5.46259,12.0,1.0,906.0,11.1471,2.0,3.0,8.0,10.0,12.0,24.0,43.0,63.0,91.0,137.0,0
371.13,11.0,5.0,2905.0,11.7366,6.0,7.0,12.0,12.0,17.0,26.0,40.0,62.0,90.0,135.0,0
945.074,12.0,2.0,3680.0,17.0107,5.0,9.0,10.0,12.0,20.0,26.0,40.0,61.0,91.0,135.0,0
20.666,7.0,2.0,23.0,10.174,4.0,5.0,5.0,8.0,14.0,21.0,26.0,57.0,91.0,145.0,0
60.1042,12.0,25.0,4052.0,13.9405,1.0,1.0,4.0,8.0,11.0,17.0,27.0,47.0,89.0,145.0,0
239.424,12.0,1.0,6014.0,10.9852,2.0,3.0,5.0,11.0,15.0,20.0,31.0,52.0,76.0,134.0,0
294.681,12.0,8.0,5782.0,11.9052,4.0,7.0,10.0,12.0,15.0,18.0,33.0,50.0,74.0,134.0,0
1364.24,12.0,1.0,132.0,10.1161,5.0,8.0,10.0,12.0,15.0,19.0,34.0,51.0,73.0,134.0,0
777.579,12.0,1.0,766.0,11.1431,5.0,5.0,5.0,7.0,7.0,11.0,26.0,48.0,67.0,124.0,0
777.579,12.0,1.0,1622.0,0.0,4.0,6.0,6.0,9.0,12.0,15.0,33.0,47.0,73.0,128.0,0
652.368,10.0,1029.0,2125.0,149.371,2.0,3.0,4.0,11.0,13.0,20.0,30.0,46.0,67.0,119.0,0
578.249,8.0,575.0,42.0,0.0,4.0,4.0,5.0,6.0,10.0,12.0,28.0,44.0,66.0,119.0,0
16.6333,8.0,1.0,89.0,10.3329,3.0,3.0,3.0,4.0,8.0,19.0,27.0,43.0,72.0,106.0,0
1480.19,12.0,1.0,2148.0,10.7592,5.0,7.0,9.0,11.0,12.0,18.0,30.0,46.0,66.0,118.0,0
27.3448,12.0,1.0,120.0,10.0245,3.0,4.0,5.0,5.0,8.0,15.0,21.0,43.0,70.0,101.0,0
49.4332,12.0,1.0,296.0,10.1671,3.0,4.0,5.0,5.0,6.0,15.0,21.0,43.0,70.0,101.0,0
5.15702,12.0,1.0,1732.0,10.6685,3.0,4.0,4.0,4.0,7.0,11.0,24.0,38.0,64.0,110.0,0
1431.15,12.0,1.0,88.0,10.3234,5.0,5.0,5.0,5.0,10.0,13.0,22.0,46.0,68.0,105.0,0
262.11,10.0,5.0,794.0,10.5884,4.0,4.0,4.0,4.0,8.0,15.0,19.0,38.0,65.0,109.0,0
1136.49,12.0,1.0,40.0,10.1321,4.0,6.0,7.0,7.0,8.0,12.0,23.0,36.0,57.0,111.0,0
4.5339,5.0,1.0,1.0,10.0109,1.0,1.0,1.0,2.0,8.0,15.0,22.0,35.0,58.0,113.0,0
12.7252,12.0,17.0,662.0,11.2715,3.0,10.0,14.0,16.0,20.0,23.0,38.0,58.0,81.0,121.0,0
14.146,9.0,38.0,228.0,11.3353,7.0,9.0,9.0,16.0,18.0,25.0,38.0,54.0,81.0,121.0,0
54.5185,12.0,1.0,860.0,10.062,6.0,8.0,9.0,17.0,18.0,26.0,38.0,54.0,81.0,121.0,0
128.315,12.0,5.0,3582.0,12.484,7.0,9.0,14.0,15.0,19.0,24.0,38.0,55.0,81.0,121.0,0
128.315,12.0,1.0,2600.0,0.0,4.0,5.0,7.0,7.0,8.0,11.0,39.0,56.0,82.0,128.0,0
4.57647,7.0,13.0,29.0,10.6547,2.0,2.0,3.0,6.0,11.0,19.0,25.0,45.0,72.0,94.0,0
1300.46,11.0,1.0,5.0,10.0338,1.0,3.0,6.0,6.0,10.0,15.0,31.0,43.0,65.0,91.0,0
330.706,12.0,1.0,3476.0,13.1755,4.0,4.0,4.0,6.0,11.0,19.0,24.0,35.0,51.0,86.0,0
632.992,2.0,1.0,2.0,11.3945,2.0,2.0,5.0,11.0,13.0,20.0,30.0,46.0,67.0,119.0,1
59.4573,12.0,393.0,5136.0,20.081,4.0,5.0,6.0,6.0,6.0,6.0,9.0,18.0,27.0,37.0,0
3.63133,12.0,1.0,1300.0,10.7943,1.0,1.0,2.0,2.0,3.0,10.0,18.0,23.0,31.0,38.0,0
4.25852,12.0,1.0,606.0,11.0492,2.0,3.0,4.0,8.0,9.0,12.0,17.0,29.0,33.0,38.0,0
3.79751,12.0,2.0,3318.0,13.8924,3.0,3.0,4.0,5.0,7.0,9.0,14.0,27.0,37.0,50.0,0
